Symbol,Name,Sector,Price,Score,RSI,MACD_Signal,Fresh_MACD_Cross,Above_50SMA,Above_200SMA,Crossed_50SMA_Recently,ADX,From_52W_High_%,From_52W_Low_%,Sub_RSI,Sub_MACD,Sub_MA,Sub_BB,Sub_Volume,Sub_OBV,Sub_ADX,Market_Cap_B,Avg_Volume_M,Run_Date,Run_Time_UTC
PANW,"Palo Alto Networks, Inc.",Technology,363.58,7.0,53.1,Bullish,No,Yes,Yes,Yes,24.9,,,1.5,1.5,2.0,0.0,0.5,1.0,0.5,297.4,6.5,2026-09-18,23:24
FTNT,"Fortinet, Inc.",Technology,169.84,7.0,58.0,Bullish,No,Yes,Yes,Yes,34.5,,,1.0,1.5,2.0,0.0,0.5,1.0,1.0,124.6,5.0,2026-09-18,23:24
GOOG,Alphabet Inc.,Communication Services,344.41,6.5,53.6,Bullish,No,Yes,Yes,Yes,24.0,,,1.5,1.5,2.0,0.0,0.0,1.0,0.5,4212.1,19.6,2026-09-18,23:24
MRVL,"Marvell Technology, Inc.",Technology,244.25,6.0,58.0,Bullish,Yes,Yes,Yes,No,23.8,,,1.0,2.0,1.5,0.0,0.0,1.0,0.5,219.5,25.7,2026-09-18,23:24
QCOM,QUALCOMM Incorporated,Technology,177.72,6.0,54.4,Bullish,No,Yes,Yes,No,38.8,,,1.5,1.5,1.5,0.0,0.5,1.0,0.0,189.8,13.7,2026-09-18,23:24
GOOGL,Alphabet Inc.,Communication Services,349.54,6.0,55.1,Bullish,No,Yes,Yes,Yes,23.5,,,1.0,1.5,2.0,0.0,0.0,1.0,0.5,4274.9,29.4,2026-09-18,23:24
AAPL,Apple Inc.,Technology,336.13,6.0,64.3,Bullish,No,Yes,Yes,No,27.5,,,1.0,1.5,1.5,0.0,0.0,1.0,1.0,4905.5,52.9,2026-09-18,23:24
PG,Procter & Gamble Company (The),Consumer Defensive,146.39,6.0,52.4,Bullish,No,Yes,Yes,Yes,12.9,,,1.5,1.5,2.0,0.0,0.0,1.0,0.0,340.0,9.0,2026-09-18,23:24
ABBV,AbbVie Inc.,Healthcare,263.96,6.0,59.0,Bullish,Yes,Yes,Yes,No,21.5,,,1.0,2.0,1.5,0.0,0.0,1.0,0.5,466.4,6.3,2026-09-18,23:24
BRK-B,Berkshire Hathaway Inc. New,Financial Services,509.77,6.0,52.3,Bullish,No,Yes,Yes,No,19.1,,,1.5,1.5,1.5,0.0,0.5,1.0,0.0,1091.3,4.4,2026-09-18,23:24
AMD,"Advanced Micro Devices, Inc.",Technology,559.82,5.5,65.4,Bullish,No,Yes,Yes,No,31.3,,,0.0,1.5,1.5,0.0,0.5,1.0,1.0,913.9,24.8,2026-09-18,23:24
JPM,JP Morgan Chase & Co.,Financial Services,349.67,5.25,44.5,Bearish,No,No,Yes,No,27.3,,,2.0,0.0,0.5,0.75,1.0,1.0,0.0,929.5,7.7,2026-09-18,23:24
HON,Honeywell International Inc.,Industrials,206.46,5.0,38.7,Bullish,Yes,No,No,No,43.7,,,2.0,2.0,0.0,0.5,0.5,0.0,0.0,65.4,3.8,2026-09-18,23:24
MSFT,Microsoft Corporation,Technology,493.78,5.0,53.3,Bearish,No,Yes,Yes,No,23.9,,,1.5,0.0,1.5,0.5,0.0,1.0,0.5,3666.6,34.0,2026-09-18,23:24
META,"Meta Platforms, Inc.",Communication Services,665.75,5.0,65.8,Bullish,No,Yes,Yes,No,55.7,,,0.0,1.5,1.5,0.0,0.0,1.0,1.0,1696.0,18.2,2026-09-18,23:24
